angle,speed_l,speed_r,v_pwm,w_pwm
0.000000,55.110229,354864.000000,0.005131,0.154367
0.000000,55.110779,354865.000000,0.004730,0.116220
0.000000,55.110970,354866.000000,0.004730,0.039926
0.000000,55.110611,354867.000000,0.004935,-0.074515
0.000000,55.110008,354868.000000,0.004973,-0.120291
0.000000,55.110020,354869.000000,0.004780,0.001779
0.000000,55.110420,354870.000000,0.005225,0.078073
0.000000,55.110279,354871.000000,0.005001,-0.028738
0.000000,55.110630,354872.000000,0.004937,0.070444
0.000000,55.111149,354873.000000,0.006694,0.078073
0.000000,55.110882,354874.000000,0.005139,-0.051626
0.000000,55.111099,354875.000000,0.005366,0.039926
0.000000,55.111450,354876.000000,0.004991,0.070444
0.000000,55.110970,354877.000000,0.004930,-0.097403
0.000000,55.110779,354878.000000,0.005032,-0.036368
0.000000,55.110420,354879.000000,0.004920,-0.074515
0.000000,55.110538,354880.000000,0.004937,0.024668
0.000000,55.110470,354881.000000,0.004961,-0.013479
0.000000,55.110359,354882.000000,0.004992,-0.021109
0.000000,55.110870,354883.000000,0.005010,0.100961
0.000000,55.110882,354884.000000,0.004845,0.001779
0.000000,55.111191,354885.000000,0.005020,0.062815
0.000000,55.110481,354886.000000,0.004973,-0.143179
0.000000,55.110779,354887.000000,0.004790,0.062815
0.000000,55.110600,354888.000000,0.004945,-0.036368
0.000000,55.111252,354889.000000,0.004917,0.131479
0.000000,55.111000,354890.000000,0.004846,-0.051626
0.000000,55.110889,354891.000000,0.004925,-0.021109
0.000000,55.110119,354892.000000,0.004920,-0.158438
0.000000,55.109982,354893.000000,0.004773,-0.028738
0.000000,55.110069,354894.000000,0.005561,0.017038
0.000000,55.109760,354895.000000,0.005263,-0.059256
0.000000,55.109692,354896.000000,0.005011,-0.013479
0.000000,55.109741,354897.000000,0.004890,0.009409
0.000000,55.109749,354898.000000,0.005100,0.001779
0.000000,55.109982,354899.000000,0.004894,0.047556
0.000000,55.110142,354900.000000,0.004977,0.032297
0.000000,55.109459,354901.000000,0.004983,-0.135550
0.000000,55.110100,354902.000000,0.004826,0.131479
0.000000,55.110512,354903.000000,0.004789,0.085703
0.000000,55.109200,354904.000000,0.004945,-0.265249
0.000000,55.109089,354905.000000,0.004794,-0.021109
0.000000,55.108799,354906.000000,0.004909,-0.059256
0.000000,55.108391,354907.000000,0.005007,-0.082144
0.000000,55.107922,354908.000000,0.006277,-0.074515
0.000000,55.107971,354909.000000,0.005017,0.009409
0.000000,55.107540,354910.000000,0.005132,-0.082144
0.000000,55.107971,354911.000000,0.004978,0.085703
0.000000,55.108089,354912.000000,0.004973,0.024668
0.000000,55.108372,354913.000000,0.004946,0.055185
0.000000,55.107971,354914.000000,0.005398,-0.074515
0.000000,55.107979,354915.000000,0.005413,0.001779
0.000000,55.107800,354916.000000,0.004996,-0.036368
0.000000,55.108231,354917.000000,0.005049,0.085703
0.000000,55.107510,354918.000000,0.005001,-0.143179
0.000000,55.108101,354919.000000,0.004761,0.123850
0.000000,55.108002,354920.000000,0.004756,-0.021109
0.000000,55.107792,354921.000000,0.004872,-0.043997
0.000000,55.108028,354922.000000,0.005027,0.047556
0.000000,55.108490,354923.000000,0.004979,0.093332
0.000000,55.108810,354924.000000,0.004989,0.062815
0.000000,55.109039,354925.000000,0.004991,0.047556
0.000000,55.109169,354926.000000,0.004910,0.024668
0.000000,55.108871,354927.000000,0.004976,-0.059256
0.000000,55.108582,354928.000000,0.004940,-0.059256
0.000000,55.108780,354929.000000,0.004926,0.039926
0.000000,55.109211,354930.000000,0.005018,0.085703
0.000000,55.109619,354931.000000,0.004864,0.085703
0.000000,55.110008,354932.000000,0.004980,0.078073
0.000000,55.109909,354933.000000,0.004893,-0.021109
0.000000,55.110088,354934.000000,0.005520,0.032297
0.000000,55.110130,354935.000000,0.004992,0.009409
0.000000,55.109810,354936.000000,0.005470,-0.059256
0.000000,55.108952,354937.000000,0.004964,-0.173697
0.000000,55.108921,354938.000000,0.004893,-0.005850
0.000000,55.109001,354939.000000,0.005218,0.017038
0.000000,55.109169,354940.000000,0.004962,0.032297
0.000000,55.108719,354941.000000,0.004928,-0.089773
0.000000,55.107361,354942.000000,0.005005,-0.272879
0.000000,55.107552,354943.000000,0.004840,0.039926
0.000000,55.107750,354944.000000,0.006277,0.032297
0.000000,55.107571,354945.000000,0.004942,-0.036368
0.000000,55.107540,354946.000000,0.005026,-0.005850
0.000000,55.107670,354947.000000,0.005108,0.024668
0.000000,55.107868,354948.000000,0.004999,0.039926
0.000000,55.108101,354949.000000,0.004970,0.047556
0.000000,55.108650,354950.000000,0.004992,0.108591
0.000000,55.108280,354951.000000,0.004839,-0.074515
0.000000,55.109020,354952.000000,0.004995,0.146738
0.000000,55.108021,354953.000000,0.004868,-0.204214
0.000000,55.108101,354954.000000,0.004803,0.017038
0.000000,55.108311,354955.000000,0.005317,0.039926
0.000000,55.108620,354956.000000,0.007511,0.039926
0.000000,55.109211,354957.000000,0.005124,0.116220
0.000000,55.108459,354958.000000,0.004770,-0.158438
0.000000,55.109291,354959.000000,0.004909,0.169626
0.000000,55.109631,354960.000000,0.004913,0.070444
0.000000,55.109341,354961.000000,0.004923,-0.059256
0.000000,55.109501,354962.000000,0.004941,0.032297
0.000000,55.109509,354963.000000,0.005009,0.001779
0.000000,55.109371,354964.000000,0.004903,-0.028738
0.000000,55.109070,354965.000000,0.005002,-0.059256
0.000000,55.107990,354966.000000,0.005987,-0.181326
0.000000,55.106289,354967.000000,0.005326,-0.318655
0.000000,55.104801,354968.000000,0.004916,-0.303396
0.000000,55.104511,354969.000000,0.004838,-0.059256
0.000000,55.104370,354970.000000,0.004996,-0.028738
0.000000,55.103870,354971.000000,0.005038,-0.097403
0.000000,55.103691,354972.000000,0.004982,-0.036368
0.000000,55.104019,354973.000000,0.005078,0.062815
0.000000,55.102829,354974.000000,0.005602,-0.211844
0.000000,55.103760,354975.000000,0.005234,0.177255
0.000000,55.103649,354976.000000,0.004917,-0.021109
0.000000,55.104568,354977.000000,0.004980,0.184885
0.000000,55.104729,354978.000000,0.004847,0.032297
0.000000,55.104549,354979.000000,0.006372,-0.028738
0.000000,55.103710,354980.000000,0.005052,-0.166067
0.000000,55.103489,354981.000000,0.004844,-0.043997
0.000000,55.103161,354982.000000,0.005032,-0.066885
0.000000,55.103470,354983.000000,0.004966,0.062815
0.000000,55.104240,354984.000000,0.004967,0.154367
0.000000,55.104542,354985.000000,0.004784,0.062815
0.000000,55.104851,354986.000000,0.005010,0.062815
0.000000,55.104778,354987.000000,0.004981,-0.013479
0.000000,55.104408,354988.000000,0.005021,-0.074515
